code,water_source_type,inspecting_agency,inspection_date,region,district,source_name,nearest_settlement_name,distance_to_settlement,establishing_agency,date_source_established,latitude,longitude,gps_precision,permanent,functioning,reason_for_non_functioning,last_intervention_agency,last_intervention_description,last_intervention_date
,Borehole,Somaliland Ministry of Water Resources Development,2022-04-11,Sool,las_caanood,Nugaal borehole 3,Ahmednasir,5.0,Private,01/01/2017,8.5067988,47.4053675,,yes,No,Reserve ,,,
,Dug Well,FGS Ministry of Energy and Water Resources,2022-05-29,Hiraan,beled_weyne,Damalow ,Buloxubey ,,Danish Refugee Council (Regional Office),23/06/2016,4.4655,45.1219,,yes,Yes,,,,
,Dug Well,FGS Ministry of Energy and Water Resources,2022-04-18,Bay,qansax_dheere,Mookubow,Mookubow ,3.0,Community,,2.898767,43.005208,,yes,No,,,,
,Dug Well,FGS Ministry of Energy and Water Resources,2022-04-19,Bay,diinsoor,Goday,wadajir,,Private,01/01/1996,2.414084,42.979737,,no,Yes,,,,
,Dug Well,Puntland Ministry of Energy Minerals and Water,2022-03-30,Sool,las_caanood,Boocame dug well,Boocame,0.0,Community,30/03/2003,8.3969708,47.9404117,,yes,Yes,,not_specified,30/03/2018,1. Installation of solar power
,Dug Well,FGS Ministry of Energy and Water Resources,2022-03-17,Middle Shabelle,balcad,Ceel Geeloow ,Raaxoy ,1.0,Community_,17/09/2014,2.515736,45.391894,,yes,Yes,,General Service Agency,18-May-21,Full Rehabilitation and supply of generator and submersible pump 
,Dug Well,Somaliland Ministry of Water Resources Development,2022-04-30,Woqooyi Galbeed,hargeisa,Dhaboolaq 4,Dhaboolaq,1.0,Reer sahal,24/11/2016,9.5134014,43.8838864,,yes,Yes,,,,
,Dug Well,FGS Ministry of Energy and Water Resources,2022-03-16,Middle Shabelle,balcad,Garas Deele,Garas Deele,1.8,Community_,18/10/2006,2.3184577,45.3918647,,yes,Yes,,,,
,Dug Well,FGS Ministry of Energy and Water Resources,2022-03-22,Middle Shabelle,jowhar,Buulo Xaaji,Buulo Xaaji Xassan,0.0,Community_,17/09/2002,2.8138,45.4498333,,yes,Yes,,Community_e,11-Sep-03,"Construction of animal troughs, water tanks"
,Dug Well,FGS Ministry of Energy and Water Resources,2022-05-29,Hiraan,beled_weyne,Doon Subugle ,Doon subugle ,,Community_,29/07/2016,4.73356,45.221508,,yes,Yes,,,,
