water_source_type,inspecting_agency,inspection_date,region,district,source_name,nearest_settlement_name,establishing_agency,date_source_established,latitude,longitude,permanent,functioning,reason_for_non_functioning,management_type,wsc_date_of_establishment,cost_of_water_for_humans,name_of_operator,operator_contact_number,last_intervention_description,last_intervention_date
Dug Well,SWALIM_HGS,2012-02-20,Sanaag,Ceerigaabo,Caduur/CEEW052,,,,10.620388,47.370833,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-01-23,Sanaag,Ceerigaabo,Ceel dhudhimo,Qaraaro,,,10.681527,47.916888,,Yes,,,,,,,,2061-12-26
Dug Well,SWALIM_HGS,2012-02-01,Sanaag,Ceerigaabo,Ceel La Q oday satelite/CEEW010B,,,,10.6395,47.414611,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-01,Sanaag,Ceerigaabo,Ceel La Q oday Satelite/CEEW015,,,,10.63925,47.402111,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-01,Sanaag,Ceerigaabo,Ceel La Q oday Satelite/CEEW020B,,,,10.649277,47.377777,,Yes,,,,,,,,2003-08-26
Dug Well,SWALIM_HGS,2012-02-01,Sanaag,Ceerigaabo,Ceel La Q oday/CEEW016B,,,,10.63925,47.402111,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-01,Sanaag,Ceerigaabo,Ceel La Q oday/CEEW017B,,,,10.63925,47.402388,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-01,Sanaag,Ceerigaabo,Ceel La Q oday/CEEW018B,,,,10.64675,47.386361,,Yes,,,,,,,,2002-03-13
Dug Well,SWALIM_HGS,2012-02-15,Sanaag,Ceerigaabo,Ceerigaabo/CEEW024B,,,,10.62775,47.370416,,Yes,,,,,,,,1997-09-30
Dug Well,SWALIM_HGS,2012-02-15,Sanaag,Ceerigaabo,Ceerigaabo/CEEW027B,,,,10.630222,47.361944,,No,,,,,,,,2000-09-26
Dug Well,SWALIM_HGS,2012-02-14,Sanaag,Ceerigaabo,Ceerigaabo/CEEW028B,,,,10.630055,47.369777,,Yes,,,,,,,,2002-08-20
Dug Well,SWALIM_HGS,2012-02-18,Sanaag,Ceerigaabo,Ceerigaabo/CEEW035,,,,10.627916,47.371305,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-18,Sanaag,Ceerigaabo,Ceerigaabo/CEEW035B,,,,10.627916,47.371305,,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-24,Togdheer,Buhoodle,Xidhxidh,Widhwidh,,,8.3828,46.9919,Yes,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-18,Sanaag,Ceerigaabo,Ceerigaabo/CEEW036,,,,10.627916,47.371138,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-18,Sanaag,Ceerigaabo,Ceerigaabo/CEEW037,,,,10.627916,47.371305,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-18,Sanaag,Ceerigaabo,Ceerigaabo/CEEW038,,,,10.627916,47.371305,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-18,Sanaag,Ceerigaabo,Ceerigaabo/CEEW039,,,,10.627916,47.371305,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-21,Togdheer,Buhoodle,Laasodaar/BUUW001,,,,8.58005,46.88125,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-02,Sanaag,Ceerigaabo,Daray/CEEW040,,,,10.654166,47.528972,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-18,Sanaag,Ceerigaabo,Daray/CEEW042,,,,10.654361,47.529027,,Yes,,,,,,,,
Dug Well,SWALIM Archives,2004-04-07,Woqooyi Galbeed,Hargeisa,Haleeya 2,,,,9.5853,44.1738,,,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-18,Sanaag,Ceerigaabo,Daray/CEEW049,,,,10.669333,47.506805,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-01-03,Togdheer,Burco,Halli bixisay,Halli bixisay,,,8.9589,45.6091,,Yes,,,,,,,,2067-09-04
Dug Well,SWALIM_HGS,2012-02-18,Sanaag,Ceerigaabo,Daray/CEEW049B,,,,10.669333,47.506805,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-18,Sanaag,Ceerigaabo,Darbi-Duqa/CEEW043,,,,10.6685,47.592222,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-01-24,Sanaag,Ceerigaabo,Dhoob/CEEW005B,,,,10.625638,47.803891,,No,,,,,,,,
Dug Well,SWALIM_HGS,2012-01-21,Sanaag,Ceerigaabo,Fudale,Eubbee,,,10.702638,47.670472,,Yes,,,,,,,,2052-08-25
Dug Well,SWALIM_HGS,2012-01-23,Sanaag,Ceerigaabo,Galaalu,Hadaftimo,,,10.658361,48.328166,,Yes,,,,,,,,1974-01-14
Dug Well,SWALIM_HGS,2012-02-18,Sanaag,Ceerigaabo,Galool-D heer/CEEW041,,,,10.654305,47.741666,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-01-16,Sanaag,Ceerigaabo,Garabad/CEW001B,Xamilka,,,9.931305,47.519027,,Yes,,,,,,,,2065-03-23
Dug Well,SWALIM_HGS,2012-02-01,Sanaag,Ceerigaabo,Godwaraabe/CEEW012,,,,9.639638,47.41475,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-17,Sanaag,Ceerigaabo,Gudma Hadle Satelite/CEEW030,,,,10.558333,47.253222,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-17,Sanaag,Ceerigaabo,Gudma Hadle Satelite/CEEW031B,,,,10.555527,47.252027,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-15,Sanaag,Ceerigaabo,Laan Qiciye Satelite/CEEW028C,,,,10.619111,47.318611,,,,,,,,,,
Dug Well,SWALIM_HGS,2012-01-23,Sanaag,Ceerigaabo,Libaxdile,Badhan,,,10.713888,48.163888,,Yes,,,,,,,,1971-08-24
Dug Well,SWALIM_HGS,2012-01-14,Sanaag,Ceerigaabo,Qaraar,Eubbee,,,10.625638,47.803888,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-01-24,Sanaag,Ceerigaabo,Shimbirale,Damale Xagare,,,10.143555,47.91,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-04,Sanaag,Ceerigaabo,Siigo-Dhere/GAW019,,,,9.565527,47.296583,,Yes,,,,,,,,1997-07-29
Dug Well,SWALIM_HGS,2012-02-04,Sanaag,Ceerigaabo,Siigo-Dhere/GAW020,,,,9.564722,47.297222,,Yes,,,,,,,,1975-07-29
Dug Well,SWALIM_HGS,2012-02-04,Sanaag,Ceerigaabo,Siigo-Dhere/GAW021,,,,9.563888,47.2975,,Yes,,,,,,,,1997-03-06
Dug Well,SWALIM_HGS,2012-02-04,Sanaag,Ceerigaabo,Siigo-Dhere/GAW022,,,,9.564166,47.296111,,,,,,,,,,1997-07-29
Dug Well,SWALIM_HGS,2012-02-20,Sanaag,Ceerigaabo,Tuula Dacar/CEEW045,,,,10.593972,47.385308,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-20,Sanaag,Ceerigaabo,Tuula Dacar/CEEW046,,,,10.594694,47.386944,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-20,Sanaag,Ceerigaabo,Tuula Dacar/CEEW047,,,,10.59,47.391972,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-20,Sanaag,Ceerigaabo,Tuula Dacar/CEEW048,,,,10.609277,47.393555,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-20,Sanaag,Ceerigaabo,Tuula Dacar/CEEW050,,,,10.609611,47.395972,,,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-18,Sanaag,Ceerigaabo,Xabow/CEEW033B,,,,10.666166,47.433611,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-01-16,Sanaag,Ceerigaabo,Xamilka,Garabcad,,,9.8725,47.405833,,Yes,,,,,,,,1970-02-09
Dug Well,SWALIM_HGS,2012-01-16,Sanaag,Ceerigaabo,Xamilka Cadayn/CEW002B,,,,9.878,47.405833,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-01-19,Sanaag,Ceerigaabo,Yufle,Cerigabo,,,10.381305,47.19525,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-01-19,Sanaag,Ceerigaabo,Yufle b,,,,10.381444,47.195,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-11,Sanaag,Ceerigaabo,Yufle/CEEW010,,,,10.424,47.186194,,,,,,,,,,2061-03-29
Dug Well,SWALIM_WSIS,2008-05-27,Sanaag,Ceerigaabo,Sheikh Isaxaaq,Maydh,,,10.9821,47.0903,Yes,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-28,Sanaag,Laasqoray,Laasqoray Dug Well,Laasqoray,Somaliland MoWRD - Ministry of Water Resources Development, 1/24/2016,11.1629,48.1991,yes,No,Since June 2019 the pump stop and electric wire cut off,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-22,Sanaag,Laasqoray,Laas qoray 2,Xaydhan yaale,,,11.1527,48.2136,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-19,Sanaag,Laasqoray,Durduri,Laas qoray,,,11.2854,48.5693,Yes,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-26,Togdheer,Buhoodle,Banyaal,,,,8.371,46.5377,,Yes,,,,,,,,2045-06-26
Dug Well,Somaliland_MoWRD,2019-10-28,Sanaag,Laasqoray,DURDURI Dug Well,Durduri,Community,12/24/1994,11.2962,48.5848,yes,Yes,,, 4/23/1995,,,,"Pump, cable and solar system",2019-06-25
Dug Well,SWALIM_HGS,2011-12-22,Togdheer,Buhoodle,Shululux,,,,8.6145,46.6938,,Yes,,,,,,,,2069-05-27
Dug Well,Somaliland_MoWRD,2019-10-06,Togdheer,Burco,Harada gubata xil Dug Well 10,Harada gubata xil,Community, 10/6/1980,8.7778,45.4634,no,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-15,Togdheer,Buhoodle,Laas Daar 1,Dhabansaar,,,8.5689,46.8691,Yes,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-21,Togdheer,Buhoodle,Laasodaar 1,,,,8.5801,46.8813,,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-23,Togdheer,Buhoodle,Bali Hadhac,Widh widh,,,8.4239,46.8886,Yes,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-26,Togdheer,Buhoodle,Banyaal/BUUW008,,,,8.371,46.53771,,Yes,,,,,,,,2045-06-26
Dug Well,SWALIM_WSIS,2008-10-06,Woqooyi Galbeed,Gebiley,Ceel Bardaale 2,Ceel Bardaale Town,,,9.8224,43.4759,Yes,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-22,Togdheer,Buhoodle,Hadh Wanaag/BUUW003,,,,8.70951,46.72527,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-24,Togdheer,Buhoodle,Horufadhi/BUUW006,,,,8.57906,46.40436,,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-05-31,Bari,Bossaso,Xamur 5,Laag,,,11.0214,49.1495,Yes,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-26,Sanaag,Laasqoray,Mindigale Dug Well,Mindigale,Horn Relief, 7/17/2003,10.684,48.6762,yes,No,Since July 2019 its collapse  and pump pipe is not work,,,0.01,,,Solar systen  pump also 1km of pipeline and kiosks.,2016-09-21
Dug Well,SWALIM_HGS,2012-02-23,Sanaag,Laasqoray,Buraan/LAAW001,,,,10.2145,48.7726,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-26,Sanaag,Laasqoray,Ceel Doofar/LAAW002B,,,,10.3896,48.9643,,,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-26,Sanaag,Laasqoray,Carmo 1,,,,10.5659,48.9902,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-25,Sanaag,Laasqoray,Juurile,,,,10.4117,49.0346,,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-25,Woqooyi Galbeed,Hargeisa,Sheikh Abdaal 3,Mandheera,,,9.9512,44.6895,Yes,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-23,Sanaag,Laasqoray,Buraan/LAAW001,,,,10.21447,48.7726,,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-07-17,Sool,Laas Caanood,Sukulux,Burowadal,,,8.4636,48.2086,Yes,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-25,Sanaag,Laasqoray,Carmo/LAAW003B,,,,10.56585,48.9902,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-25,Sanaag,Laasqoray,Juurile/LAAW004B,,,,10.41174,49.03456,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-26,Sanaag,Laasqoray,Ceel Doofar/LAAW002B,,,,10.38964,48.96433,,,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-23,Togdheer,Burco,Beer Two/BUW007,,,,9.368555,45.762055,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-23,Togdheer,Burco,Beer Two/BUW008,,,,9.368694,45.763305,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-23,Togdheer,Burco,Beer Two/BUW009,,,,9.367138,45.764083,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-28,Togdheer,Burco,Karasharka/SHW004,,,,9.687472,45.44575,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-01-03,Togdheer,Burco,Koridh,,,,8.981055,46.129944,,Yes,,,,,,,,1988-08-04
Dug Well,SWALIM_HGS,2011-12-24,Togdheer,Buhoodle,Horufadhi,,,,8.5791,46.4044,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-22,Togdheer,Buhoodle,Yeyle,,,,8.6969,46.6141,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-22,Togdheer,Buhoodle,Hadh Wanaag,,,,8.7095,46.7253,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-19,Togdheer,Buhoodle,Wadhan,,,,8.7803,46.7943,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-21,Togdheer,Buhoodle,Laasodaar 2,,,,8.5861,46.8945,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-21,Togdheer,Buhoodle,Laasodaar 4,,,,8.6494,46.9498,,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-25,Togdheer,Buhoodle,Dhaban saar,Bali hadhac,,,8.5414,46.9525,Yes,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-26,Togdheer,Buhoodle,Laasodaar 3,,,,8.5373,46.9637,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-12,Togdheer,Buhoodle,Yagooi,,,,8.7518,46.9731,,Yes,,,,,,,,1975-03-18
Dug Well,SWALIM_HGS,2011-12-21,Togdheer,Buhoodle,Laasodaar/BUUW002,,,,8.58607,46.89447,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-26,Togdheer,Buhoodle,Laasodaar/BUUW009,,,,8.53729,46.96369,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-17,Togdheer,Owdweyne,Bali Qaasim,,,,9.3163,44.7591,,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-11-06,Togdheer,Owdweyne,Harasheikh Dug Well 8,Qoton Dabo,,,9.3146,44.7594,,,,,,,,,,
Dug Well,SWALIM_WSIS,2008-11-06,Togdheer,Owdweyne,Harasheikh Dug Well 7,Qoton Daho,,,9.3147,44.7599,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-11-06,Togdheer,Owdweyne,Harasheikh Dug Well 3,Qoton Dabo,,,9.3159,44.7599,,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-11-06,Togdheer,Owdweyne,Harasheikh Dug Well 6,Qoton Dabo,,,9.315,44.76,No,No,,,,,,,,2007-01-28
Dug Well,SWALIM_WSIS,2008-11-06,Togdheer,Owdweyne,Harasheikh Dug Well 5,Qoton Dabo,,,9.3151,44.7602,Yes,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-17,Togdheer,Owdweyne,ceradle maxle,,,,9.244,44.9046,,Yes,,,,,,,,2010-12-08
Dug Well,Somaliland_MoWRD,2019-10-22,Togdheer,Owdweyne,Xaaxi Dug Well 1,Xaaxi,Community,10/22/2015,9.3501,44.9622,no,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-22,Togdheer,Owdweyne,Xaaxi Dug Well 2,Xaaxi,Community,10/22/2000,9.3497,44.9627,no,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-22,Togdheer,Owdweyne,Xaaxi Dug Well 3,Xaaxi,Community,10/22/2019,9.3498,44.9627,no,Yes,,,,,,,,
Dam,SWALIM_WSIS,2009-09-30,Gedo,Baardheere,Shiraaw,Shiraaw,,,2.1875,42.34,,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-22,Togdheer,Owdweyne,Xaaxi Dug Well 4,Xaaxi,Community,10/22/2014,9.3498,44.9628,no,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-04,Woqooyi Galbeed,Gebiley,Qalax Dug Well 5,gebiley,,,9.7156,43.6463,Yes,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-12,Woqooyi Galbeed,Berbera,Beeyo Dhaadher,,,,10.1966,45.7829,,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2014-10-22,Togdheer,Owdweyne,Xaaxi Dug Well 5,Xaaxi,Somaliland MoWRD - Ministry of Water Resources Development,10/22/2013,9.3497,44.9629,no,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-22,Togdheer,Owdweyne,Xaaxi Dug Well 6,Xaaxi,Community,10/22/1984,9.3498,44.9629,no,No,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-15,Togdheer,Owdweyne,Owd Xaxi,,,,9.3502,44.9629,,Yes,,,,,,,,2007-08-28
Dug Well,Somaliland_MoWRD,2019-10-22,Togdheer,Owdweyne,Xaaxi Dug Well 7,Xaaxi,Community,10/22/2014,9.35,44.9631,no,No,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-22,Togdheer,Owdweyne,Xaaxi Dug Well 8,Xaaxi,Community,10/22/2019,9.3501,44.9631,no,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-19,Togdheer,Owdweyne,Beerato Dug Well 2,Owdweyne,,,9.3552,45.0731,,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-12-06,Woqooyi Galbeed,Gebiley,Yanuunta 2,gebiley,,,9.7213,43.6576,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-19,Togdheer,Owdweyne,Owdweyne collection wells 3,Owdweyne,,,9.355,45.0731,Yes,Yes,,,,,,,,2002-01-28
Dug Well,SWALIM_HGS,2012-02-26,Woqooyi Galbeed,Hargeisa,Sheikh Abdaal 2,,,,9.9617,44.7061,,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-09-06,Woqooyi Galbeed,Gebiley,Agamsaha 2,Arabsiyo,,,9.6786,43.7217,Yes,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-25,Woqooyi Galbeed,Berbera,Xamaas/W-065,,,,10.07441,44.81703,,Yes,,,,,,,,2000-10-17
Dug Well,Somaliland_MoWRD,2019-10-22,Togdheer,Owdweyne,Xaaxi Dug Well 13,Xaaxi,Somaliland MoWRD - Ministry of Water Resources Development,10/22/1982,9.35,44.9632,no,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-28,Togdheer,Owdweyne,Dubur/SHW001,,,,9.8698,45.2511,,Yes,,,,,,,,
Dug Well,SWALIM Archives,2004-04-07,Woqooyi Galbeed,Hargeisa,Haleeya 1,,,,9.5855,44.1739,,,,,,,,,,
Spring,SWALIM_WSIS,2008-05-26,Sanaag,Ceel Afweyn,Godma Biyo Cas,Suudha Daxis Guray,,,10.5898,46.9558,Yes,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-22,Togdheer,Owdweyne,Xaaxi Dug Well 10,Xaaxi,Community,10/22/1973,9.3502,44.9632,no,No,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-22,Togdheer,Owdweyne,Xaaxi Dug Well 9,Xaaxi,Somaliland MoWRD - Ministry of Water Resources Development,10/22/2019,9.3503,44.9632,no,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-22,Togdheer,Owdweyne,Xaaxi Dug Well 12,Xaaxi,Community,10/22/1976,9.35,44.9633,no,No,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-22,Togdheer,Owdweyne,Abdi farax Dug Well 7,Cabdi farax,Community,10/22/2019,9.1887,44.9854,no,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-22,Togdheer,Owdweyne,Cabdi farax Dug Well 9,Cabdi farax,Community,10/22/1992,9.1887,44.9854,no,No,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-22,Togdheer,Owdweyne,Cabdi farax Dug Well 8,Cabdi farac,Community,10/22/1970,9.1883,44.9855,no,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-28,Togdheer,Burco,Karasharka 1,,,,9.6869,45.4458,,Yes,,,,,,,,2009-11-23
Dug Well,Somaliland_MoWRD,2019-10-22,Togdheer,Owdweyne,Cabdi farax Dug Well 5,Cabdi farax,Somaliland MoWRD - Ministry of Water Resources Development,10/22/2014,9.1883,44.9856,no,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-15,Woqooyi Galbeed,Berbera,ceel Daraad,,,,10.7139,45.5581,,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-22,Togdheer,Owdweyne,Cabdi farax Dug Well 2,Cabdi farax,Community,10/22/1980,9.1889,44.9856,no,No,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-16,Woqooyi Galbeed,Berbera,hagal,,,,10.1966,45.7996,,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-22,Togdheer,Owdweyne,Abdi Faarah Dug Well 4,Cabdi faarax,Community,10/22/2019,9.1882,44.9857,no,No,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-17,Woqooyi Galbeed,Berbera,Biyo-Guure/W-058,,,,10.40012,45.15086,,No,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-22,Togdheer,Owdweyne,Cabdi farax Dug Well 1,Cabdi farax,Community,10/22/2000,9.189,44.9861,no,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-22,Togdheer,Owdweyne,Abdi farax Dug Well 3,Cabdi farax,Community,10/22/1990,9.1887,44.9862,no,No,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-15,Togdheer,Owdweyne,Becrato,,,,9.4113,45.0609,,Yes,,,,,,,,2008-06-25
Dug Well,Somaliland_MoWRD,2014-10-22,Togdheer,Owdweyne,owdweyne Dug Well 2,owdweyne,Community,10/22/2014,9.4065,45.0614,no,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-14,Woqooyi Galbeed,Hargeisa,Haleeya Dug Well 6,Gacan Libax Hargeisa,,,9.584,44.1745,Yes,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-22,Togdheer,Owdweyne,owdweyne Dug Well,owdweyne,Community,10/22/2015,9.4065,45.0616,no,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2015-10-22,Togdheer,Owdweyne,owdweyne Dug Well 3,owdweyne,Community,10/22/1965,9.4065,45.0618,no,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-14,Togdheer,Owdweyne,Bera,,,,9.3558,45.073,,Yes,,,,,,,,2011-10-26
Dug Well,SWALIM_WSIS,2008-05-19,Togdheer,Owdweyne,Beerato Collection Dug Well,Owdweyne,UNICEF - United Nations Children's Fund, 1/28/2002,9.3557,45.0736,Yes,Yes,,,,,,,,2002-01-28
Dug Well,SWALIM_WSIS,2008-05-19,Togdheer,Owdweyne,Beerato Dug Well 3,Owdweyne,,,9.3544,45.0736,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-19,Togdheer,Owdweyne,Beerato Dug Well 6,Owdweyne,SWISS GROUP Caritas Switzerland, 1/28/2007,9.3543,45.0744,Yes,Yes,,,,,,,,2007-01-28
Dug Well,SWALIM_HGS,2012-02-22,Woqooyi Galbeed,Berbera,Laasdacawo Dug Well 3,,,,10.0566,44.9906,,,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-21,Woqooyi Galbeed,Berbera,Lasadacawo Dug Well 1,Lasadacwo,,,10.0562,44.9907,Yes,Yes,,,,,,,,2004-01-29
Dug Well,SWALIM_WSIS,2008-05-21,Woqooyi Galbeed,Berbera,Dhaymole,,,,10.136,45.0228,Yes,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-09,Woqooyi Galbeed,Berbera,GalgumareDug Well1,Galgumare,DP WORLD,10/21/2018,10.2424,45.0575,yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-20,Woqooyi Galbeed,Berbera,Biyoguure Dug Well,Biyoguure,,,10.4188,45.1328,Yes,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-17,Woqooyi Galbeed,Berbera,Biyo Guure,,,,10.4001,45.1509,,No,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-11,Woqooyi Galbeed,Berbera,Burcokibir shalow,Burcokibir,Community,10-11-11,10.2213,45.3029,no,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-13,Woqooyi Galbeed,Berbera,las xag,,,,10.283,45.4025,,Yes,,,,,,,,
Dug Well,Somaliland_MoWRD,2019-10-10,Woqooyi Galbeed,Berbera,Beyodhadhershalow,Beyodhadher,Community,11-12-14,10.4185,45.433,yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-06-04,Woqooyi Galbeed,Gebiley,Qalax Dug Well 1,gebiley,,,9.7165,43.6366,Yes,Yes,,,,,,,,2004-01-24
Dug Well,Somaliland_MoWRD,2019-10-10,Woqooyi Galbeed,Berbera,Xagalshalaw,Xagal,Community,11-12-13,10.1987,45.7828,yes,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-04,Woqooyi Galbeed,Berbera,Bulloxaar/W-047,,,,10.38702,44.39804,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-15,Woqooyi Galbeed,Berbera,ceel daraad,,,,10.713916,45.558138,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-04,Woqooyi Galbeed,Berbera,Ceel S heekh/W-046,,,,10.43345,44.26586,,,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-25,Woqooyi Galbeed,Berbera,Dara Godle/W-064,,,,10.16876,44.84393,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-16,Woqooyi Galbeed,Berbera,Geeri/W-057,,,,10.37411,44.57189,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2011-12-16,Woqooyi Galbeed,Berbera,hagal,,,,10.196555,45.799583,,Yes,,,,,,,,
Dug Well,SWALIM_HGS,2012-02-22,Woqooyi Galbeed,Berbera,Laas-Dawaco/W-061,,,,10.05657,44.99062,,,,,,,,,,
